72559,G.I. Joe: Retaliation,"Framed for crimes against the country, the G.I. Joe team is terminated by Presidential order. This forces the G.I. Joes into not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.",,5.4,"['Adventure', 'Action', 'ScienceFiction', 'Thriller']","['DwayneJohnson', 'D.J.Cotrona', 'AdriannePalicki']",['JonM.Chu'],110,"Framed for crimes against the country, the G.I. Joe team is terminated by Presidential order. This forces the G.I. Joes into not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence. Adventure Action ScienceFiction Thriller terror assassin secret technology missile warhead president rescue conspiracy explosion battle surveillance cobra DwayneJohnson D.J.Cotrona AdriannePalicki JonM.Chu",en,26-Mar-13
7364,Sahara,"Scouring the ocean depths for treasure-laden shipwrecks is business as usual for a thrill-seeking underwater adventurer and his wisecracking buddy. But when these two cross paths with a beautiful doctor, they find themselves on the ultimate treasure hunt.",,5.7,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']","['MatthewMcConaughey', 'PenélopeCruz', 'SteveZahn']",['BreckEisner'],124,"Scouring the ocean depths for treasure-laden shipwrecks is business as usual for a thrill-seeking underwater adventurer and his wisecracking buddy. But when these two cross paths with a beautiful doctor, they find themselves on the ultimate treasure hunt. Action Adventure Comedy Drama Mystery tyrant ironcladship MatthewMcConaughey PenélopeCruz SteveZahn BreckEisner",en,6-Apr-05
2114,Final Fantasy: The Spirits Within,"Led by a strange dream, scientist Aki Ross struggles to collect the eight spirits in the hope of creating a force powerful enough to protect the planet. With the aid of the Deep Eyes Squadron and her mentor, Dr. Sid, Aki must save the Earth from its darkest hate and unleash the spirits within.",,5.9,"['Adventure', 'Action', 'Animation', 'Fantasy', 'ScienceFiction', 'Thriller']","['DonaldSutherland', 'Ming-NaWen', 'AlecBaldwin']","['HironobuSakaguchi', 'MotonoriSakakibara']",106,"Led by a strange dream, scientist Aki Ross struggles to collect the eight spirits in the hope of creating a force powerful enough to protect the planet. With the aid of the Deep Eyes Squadron and her mentor, Dr. Sid, Aki must save the Earth from its darkest hate and unleash the spirits within. Adventure Action Animation Fantasy ScienceFiction Thriller battleassignment dystopia alien downfall scientist basedonvideogame DonaldSutherland Ming-NaWen AlecBaldwin HironobuSakaguchi MotonoriSakakibara",en,2-Jul-01
1771,Captain America: The First Avenger,"Predominantly set during World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",,6.6,"['Action', 'Adventure', 'ScienceFiction']","['ChrisEvans', 'HugoWeaving', 'TommyLeeJones']",['JoeJohnston'],124,"Predominantly set during World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination. Action Adventure ScienceFiction newyork usa worldwarii nazis marvelcomic superhero basedoncomicbook nazigermany perioddrama brooklynnewyorkcity captainamerica aftercreditsstinger marvelcinematicuniverse 3d ChrisEvans HugoWeaving TommyLeeJones JoeJohnston",en,22-Jul-11
36643,The World Is Not Enough,"Greed, revenge, world dominance and high-tech terrorism – it's all in a day's work for Bond, who's on a mission to a protect beautiful oil heiress from a notorious terrorist. In a race against time that culminates in a dramatic submarine showdown, Bond works to defuse the international power struggle that has the world's oil supply hanging in the balance.",,6,"['Adventure', 'Action', 'Thriller']","['PierceBrosnan', 'SophieMarceau', 'RobertCarlyle']",['MichaelApted'],128,"Greed, revenge, world dominance and high-tech terrorism – it's all in a day's work for Bond, who's on a mission to a protect beautiful oil heiress from a notorious terrorist. In a race against time that culminates in a dramatic submarine showdown, Bond works to defuse the international power struggle that has the world's oil supply hanging in the balance. Adventure Action Thriller british mission oil heiress bilbaospain britishsecretservice PierceBrosnan SophieMarceau RobertCarlyle MichaelApted",en,8-Nov-99
8619,Master and Commander: The Far Side of the World,"After an abrupt and violent encounter with a French warship inflicts severe damage upon his ship, a captain of the British Royal Navy begins a chase over two oceans to capture or destroy the enemy, though he must weigh his commitment to duty and ferocious pursuit of glory against the safety of his devoted crew, including the ship's thoughtful surgeon, his best friend.",,6.9,['Adventure'],"['RussellCrowe', 'PaulBettany', ""JamesD'Arcy""]",['PeterWeir'],138,"After an abrupt and violent encounter with a French warship inflicts severe damage upon his ship, a captain of the British Royal Navy begins a chase over two oceans to capture or destroy the enemy, though he must weigh his commitment to duty and ferocious pursuit of glory against the safety of his devoted crew, including the ship's thoughtful surgeon, his best friend. Adventure naturalist frigate selfsurgery seabattle weevil RussellCrowe PaulBettany JamesD'Arcy PeterWeir",en,14-Nov-03
50620,The Twilight Saga: Breaking Dawn - Part 2,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",,6.1,"['Adventure', 'Fantasy', 'Drama', 'Romance']","['KristenStewart', 'RobertPattinson', 'TaylorLautner']",['BillCondon'],115,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi. Adventure Fantasy Drama Romance vampire romance villainess superstrength imprinting crossbreed bloodsucker grudge vampirevsvampire chiefofpolice dhampir forkswashington wolfpack misinformation seeingthefuture fangvamp KristenStewart RobertPattinson TaylorLautner BillCondon",en,13-Nov-12
65759,Happy Feet Two,"Mumble the penguin has a problem: his son Erik, who is reluctant to dance, encounters The Mighty Sven, a penguin who can fly! Things get worse for Mumble when the world is shaken by powerful forces, causing him to brings together the penguin nations and their allies to set things right.",,5.8,"['Animation', 'Comedy', 'Family']","['ElijahWood', 'RobinWilliams', 'Pink']",['GeorgeMiller'],100,"Mumble the penguin has a problem: his son Erik, who is reluctant to dance, encounters The Mighty Sven, a penguin who can fly! Things get worse for Mumble when the world is shaken by powerful forces, causing him to brings together the penguin nations and their allies to set things right. Animation Comedy Family penguin musical aftercreditsstinger 3d ElijahWood RobinWilliams Pink GeorgeMiller",en,17-Nov-11
1724,The Incredible Hulk,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",,6.1,"['ScienceFiction', 'Action', 'Adventure']","['EdwardNorton', 'LivTyler', 'TimRoth']",['LouisLeterrier'],114,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe. ScienceFiction Action Adventure newyork riodejaneiro marvelcomic superhero basedoncomicbook ontherun fugitive supersoldier tonystark virginia military hulk marvelcinematicuniverse angry brucebanner EdwardNorton LivTyler TimRoth LouisLeterrier",en,12-Jun-08
267935,The BFG,"The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, or any of the other giants—rather than the BFG—she would have soon become breakfast. When Sophie hears that the giants are flush-bunking off to England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her!",,6,"['Adventure', 'Family', 'Fantasy']","['RubyBarnhill', 'MarkRylance', 'RebeccaHall']",['StevenSpielberg'],120,"The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, or any of the other giants—rather than the BFG—she would have soon become breakfast. When Sophie hears that the giants are flush-bunking off to England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her! Adventure Family Fantasy londonengland england basedonnovel queen littlegirl orphan cannibal giant evilbrother RubyBarnhill MarkRylance RebeccaHall StevenSpielberg",en,1-Jun-16
